Number,Latitude,Longitude,Title,Short_Desc,Image_Url,Cost,Size,Category,Date,Occupant
61,58.45631519,-135.8693148,73687,WA - Float Cabin GBQ67 - Blue Mouse Cove,http://akrgis.nps.gov/apps/buildings/photos/thumbs/73687_2011-12-02_02-26-13_PM_thm.jpg,"$74,854","120 Sq Ft",Housing-Support Bldg,"2002",NPS
62,58.45624754,-135.8692294,73689,WA - Float Cabin GBQ68 - Russell Island,http://akrgis.nps.gov/apps/buildings/photos/thumbs/73689_2011-12-02_02-35-05_PM_thm.jpg,"$74,854","120 Sq Ft",Housing-Support Bldg,"2002",NPS
63,58.45271806,-135.8870429,94399,UC - AIS / VES Building GBA121,http://akrgis.nps.gov/apps/buildings/photos/thumbs/94399_2011-12-07_11-17-15_AM_thm.jpg,"$30,733","160 Sq Ft",General Bldg,"1999",NPS
64,58.45368015,-135.8554397,94358,DA - Depot Scrap Metal Shed GBA41,http://akrgis.nps.gov/apps/buildings/photos/thumbs/94358_2011-12-07_11-46-38_AM_thm.jpg,"$25,139","123 Sq Ft",Storage,"1996",NPS
65,58.45357486,-135.8554074,235761,DA - Solid Waste Holding Shed GBA135,http://akrgis.nps.gov/apps/buildings/photos/thumbs/235761_2012-06-19_09-56-42_AM_thm.jpg,"$15,824","96 Sq Ft",Shed/Outbuild,"2011",NPS
66,58.45046866,-135.8717337,70959,MA - Maintenance Support Building GBA99,http://akrgis.nps.gov/apps/buildings/photos/thumbs/70959_2012-06-21_02-50-38_PM_thm.jpg,"$5,452,583","19,200 Sq Ft",Serv/Shop/Maint,"2004",NPS
67,58.45342474,-135.8557461,70936,DA - Depot Boat Storage Shelter Building GBA79,http://akrgis.nps.gov/apps/buildings/photos/thumbs/70936_2012-06-21_11-20-07_AM_thm.jpg,"$497,874","2,592 Sq Ft",Storage,"1995",NPS
68,58.45140563,-135.8935967,70946,CA - Campground Warming Hut GBA23,http://akrgis.nps.gov/apps/buildings/photos/thumbs/70946_2012-10-03_02-34-07_PM_thm.jpg,"$30,779","168 Sq Ft",Shed/Outbuild,"1971",NPS
69,58.45160867,-135.8933707,70950,CA - Campground Wood Shed GBA32,http://akrgis.nps.gov/apps/buildings/photos/thumbs/70950_2012-10-03_02-27-22_PM_thm.jpg,"$13,184","60 Sq Ft",Shed/Outbuild,"1975",NPS
70,58.45169118,-135.8928703,70951,CA - Campground Outhouse GBA36,http://akrgis.nps.gov/apps/buildings/photos/thumbs/70951_2012-10-03_02-08-03_PM_thm.jpg,"$10,651","16 Sq Ft",Comfort Station,"1984",NPS
71,58.45194556,-135.8918079,70947,CA - Campground Food Cache GBA24,http://akrgis.nps.gov/apps/buildings/photos/thumbs/70947_2012-10-03_01-54-55_PM_thm.jpg,"$10,628","unknown",Shed/Outbuild,"1971",NPS
72,58.45245504,-135.8873786,77814,UC - Santec Blower Building GBA88,http://akrgis.nps.gov/apps/buildings/photos/thumbs/77814_2012-06-20_03-18-16_PM_thm.jpg,"$58,090","201 Sq Ft",Sewage Treatment,"1998",NPS
73,58.453311,-135.8544844,235760,DA - Security Storage Shed GBA134,http://akrgis.nps.gov/apps/buildings/photos/thumbs/235760_2012-06-19_10-51-45_AM_thm.jpg,"$19,156","unknown",Storage,"2011",NPS
74,58.4534131,-135.854295,42563,DA - Depot Used Oil Storage Building GBA73,http://akrgis.nps.gov/apps/buildings/photos/thumbs/42563_2012-06-19_10-25-17_AM_thm.jpg,"$16,964","83 Sq Ft",Chemical,"1996",NPS
75,58.45352017,-135.8549483,232669,DA - Depot Equipment Storage Shed GBA129,http://akrgis.nps.gov/apps/buildings/photos/thumbs/232669_2012-06-19_09-50-56_AM_thm.jpg,"$35,192","unknown",Barn/Stable,"2010",NPS
76,58.45803683,-135.8737525,91482,HQ - Headquarters Island Cabin Pit Toilet GBA01A,http://akrgis.nps.gov/apps/buildings/photos/thumbs/91482_2012-10-03_09-43-16_AM_thm.jpg,"$17,272","16 Sq Ft",Shed/Outbuild,"1950",NPS
77,58.45258117,-135.8814568,226564,LH - Staff Kitchen Dry Storage Annex GBL71A,http://akrgis.nps.gov/apps/buildings/photos/thumbs/226564_2012-09-01_06-51-01_AM_thm.jpg,"$28,661","96 Sq Ft",Storage,"1993",CONCESSION
78,58.45606561,-135.867627,236525,HQ - Office Building GBA131,http://akrgis.nps.gov/apps/buildings/photos/thumbs/236525_2012-08-12_12-03-01_AM_thm.jpg,"$212,869","480 Sq Ft",Administrative,"2012",NPS
79,58.45623223,-135.8672029,236526,HQ - Office Building GBA132,http://akrgis.nps.gov/apps/buildings/photos/thumbs/236526_2012-08-08_02-34-36_AM_thm.jpg,"$212,869","480 Sq Ft",Administrative,"2012",NPS
