Number,Latitude,Longitude,Title,Short_Desc,Image_Url,Cost,Size,Status,Category,Date,Occupant,Name,ParkName
30,58.5573277376302,-155.77974316623263,88540,KATMAILAND BC Brooks Lodge Tuckerville Managers House,http://akrgis.nps.gov/apps/bldgs/photos/thumbs/KATM/88540.jpg,"$145,021",346 Sq Ft,OPERATING,Housing-Single Family,1978,CONCESSION,KATMAILAND BC Brooks Lodge Tuckerville Managers House,
31,58.55678862630208,-155.77898215603298,38420,BR-39 Maintenance Building,http://akrgis.nps.gov/apps/bldgs/photos/thumbs/KATM/38420.jpg,"$426,399","1,008 Sq Ft",OPERATING,Serv/Shop/Maint,1972,NPS,BR-39 Maintenance Building,
32,58.55665800564236,-155.77920237304687,53738,BR-55 BC Incinerator Building,http://akrgis.nps.gov/apps/bldgs/photos/thumbs/KATM/53738.jpg,"$223,008",628 Sq Ft,OPERATING,Administrative,1991,NPS,BR-55 BC Incinerator Building,
33,58.556654330512174,-155.77854193684897,38422,BR-38 BC Ranger Station,http://akrgis.nps.gov/apps/bldgs/photos/thumbs/KATM/38422.jpg,"$153,165",355 Sq Ft,OPERATING,Administrative,1962,NPS,BR-38 BC Ranger Station,
34,58.55666229383678,-155.7782831705729,38412,BR-47  Brooks Camp Quarters,http://akrgis.nps.gov/apps/bldgs/photos/thumbs/KATM/38412.jpg,"$153,274",390 Sq Ft,OPERATING,Housing-Single Family,1965,NPS,BR-47 Brooks Camp Quarters,
35,58.55633081922741,-155.77898470811633,38421,BR-53 BC  Visitor Auditorium,http://akrgis.nps.gov/apps/bldgs/photos/thumbs/KATM/38421.jpg,"$696,804",800 Sq Ft,OPERATING,Auditorium,1976,NPS,BR-53 BC Visitor Auditorium,
36,58.55623582790798,-155.77861451497395,55666,Radio Repeater Building Dumpling Mountain,http://akrgis.nps.gov/apps/bldgs/photos/thumbs/KATM/55666.jpg,"$16,168",64 Sq Ft,OPERATING,Storage,2002,NPS,BR-01B Bear Proof Storage for Picnic Area and Day Use,
37,58.556135968967,-155.7781999858941,38424,BR-01 BC Visitor Contact Station,http://akrgis.nps.gov/apps/bldgs/photos/thumbs/KATM/38424.jpg,"$566,153",650 Sq Ft,OPERATING,Visitor/Interp,1956,NPS,BR-01 BC Visitor Contact Station,
38,58.555921102430545,-155.77918100043402,88535,KATMAILAND BC Brooks Lodge Skytel (motel),http://akrgis.nps.gov/apps/bldgs/photos/thumbs/KATM/88535.jpg,"$570,687","2,040 Sq Ft",OPERATING,Housing-Multi-Unit,1964,CONCESSION,KATMAILAND BC Brooks Lodge Skytel (motel),
39,58.55575561197918,-155.77910054796007,88533,KATMAILAND  BC  Brooks Lodge Guest Cabin #26,http://akrgis.nps.gov/apps/bldgs/photos/thumbs/KATM/88533.jpg,"$66,026",189 Sq Ft,OPERATING,Housing-Single Family,1961,CONCESSION,KATMAILAND BC Brooks Lodge Guest Cabin #26,
